,Date,User,Tweet
96,2021-11-01 22:55:01+00:00,CicLAvia,"CicLAvia and @AARP are partnering for a series of CivSalons – dynamic, virtual presentations about LA culture &amp; civic issues. Join us on 11/4 at 12 pm to hear @ayogist, a yogi, podcaster and CicLAvia volunteer, share how she has stayed connected in 2021 https://t.co/tFXcSyVUmE https://t.co/SpryrIUXQu"
97,2021-11-01 22:52:52+00:00,_yogi_Bear_61,"@Patriot66874185 I saw a specialist once about them he took basically everything healthy off the table for me to eat but I could have as much sugar as I wanted. I said to him what about my type 2 and he laughed and just said ""sucks to be you man"" we both laughed and I never went back to him"
98,2021-11-01 22:52:49+00:00,creetosis,@DomTh3Donkey I can't wait until Chris Pratt is announced to play Yogi Bear
99,2021-11-01 22:51:52+00:00,Teddy72173478,"@_yogi_Bear_61 Grapefruit juice is good to drink to help with kidney stones.
I will keep you in prayer. Stay strong. 🛐💌🧸"
100,2021-11-01 22:50:56+00:00,UshamIbomchasi3,"🙏

Afghan girl sends water from Kabul river for PM Modi, will offer it at Ayodhya, says Yogi Adityanath
https://t.co/5h7lNgYyJg

via NaMo App https://t.co/ymgSj8noeE"
101,2021-11-01 22:50:22+00:00,HeirloomVeget,@_yogi_Bear_61 ❤️ Love ya too my friend
102,2021-11-01 22:49:35+00:00,_yogi_Bear_61,@HeirloomVeget And that's why I love you so much ❣️
103,2021-11-01 22:48:57+00:00,MondoJoey,@_yogi_Bear_61 Lemons in water good for keeping them at bay
104,2021-11-01 22:48:01+00:00,pinochlemeld,@_yogi_Bear_61 Ouch! 😬 I hope the hex expires soon. 🙏
105,2021-11-01 22:47:54+00:00,_yogi_Bear_61,"@YpatriotN Maybe I could get like $450,000 per stone 🤣🤣🤣"
106,2021-11-01 22:47:53+00:00,Mitch64780934,@_yogi_Bear_61 Free marbles dude
107,2021-11-01 22:47:45+00:00,HeirloomVeget,"@_yogi_Bear_61 😂 I have just about every known natural cure in my mental rolodex I deplore pharmaceutical medications, and am allergic to many therefore I do not take them and cannot remember the last time I was ill cept for pollen ragweed"
108,2021-11-01 22:47:11+00:00,aomame_rvn,"and im continuing with another script, another video to edit. had to rescheduled Yogi's appointment cos it's impossible to go like this. adeeeehhh ka pahaiiii"
109,2021-11-01 22:46:59+00:00,nonna_yogi,"@whoisthatsangi1 @Gjog10929721 @jimcramer Awww, you're so cute when you're mad 😍 you even laughed your ass off off. That's next level salty. Anyway, gotta run. Yoga and all that jazz 💋🍑🖕"
110,2021-11-01 22:46:50+00:00,YpatriotN,@_yogi_Bear_61 Oh noooooooio 🙏. Biden is responsible I’m sure
111,2021-11-01 22:46:29+00:00,benjami27509423,"@_yogi_Bear_61 agreed, Im pretty sure thats whats turning my beard white.  couldnt be age.........."
112,2021-11-01 22:46:02+00:00,syrianxbt,Bold statement.. but I think @jaburx might be a bigger hype man than the legendary Yogi.... because the @SolanaDBS discord is popping
113,2021-11-01 22:45:26+00:00,DagaSuresh,"@aajtak @ZeeNews @ABPNews @ndtvfeed there is no FOE &amp; right to live peacefully due to Modi &amp; yogi government. UNHRC must take note. We can’t celebrate Pakistan’s win in cricket, Aryan khans release . People are living in fear. World should take note ."
114,2021-11-01 22:44:04+00:00,jhallito,"@TrevorASports Gus &amp; Klatt hands down are the best. Tim Brando screws up all the names, but he's great too. But my fave Pac group is easily Yogi &amp; Ted. They're fabulous."
115,2021-11-01 22:43:31+00:00,bubbleoutcas,"@SheikhOnADonkey @MileHighBull @SolYetis #solyeti developers promised 100% of royalties to #solyeti holders but then used them to sweep floor from 2 to 3 and pay pathetic twitter promoters like @milehighbull, now the floor is at .67 and headed to zero, even yogi the solbears guy was more competent https://t.co/LnJeTuRRuA"
116,2021-11-01 22:43:09+00:00,yogi_kong,@sheez81704806 @MrZackMorris What about $KPLT it’s BNPL and beaten down
117,2021-11-01 22:42:20+00:00,freddiemofield2,@_yogi_Bear_61 Whoa prayers!
118,2021-11-01 22:41:52+00:00,landomercy_,@frostyflakes141 Nuts and yogi bear?
